,words,cluster
0,bayar bpjs sanggup percaya uang gaib triliun pulih ekonomi rang pandemi covid,5
1,didik gratis sehat gratis bpjs iur nunggak listrik subsidi,5
2,iya wajib bayar layan sehat bpjs sehat usaha wajib aneh,5
3,layan sehat bpjs,3
4,beda iur bpjs sehat naek,5
5,bpjs salah kelola direksi tahan,5
6,kalimat kau bilang merdeka bukti nama merdeka rakyat bpjs sehat iur,5
7,sulit rujuk rumah sakit sesuai arah dokter faskes tingkat ajar bpjs,5
8,heran bpjs bayar tenaga sehat,5
9,jamin paksa asuransi sehat tambah paksa bpjs,0
10,miris sehat jadi bisnis rakyat palak penting kapitalis,5
11,jamsostek ketenagakerjaan bpjs sehat adalagi bp tapera dapat bayar iur mulu,5
12,jokowi beban rakyat miskin covid turun bbm naik bpjs sehat cebong sakit biaya,5
13,bpjs telat bayar apd bayar nama doang tri sehat dalem sakit,5
14,anak udh santai kis suami perlu lahir anak ngurus ribet,5
15,kurir salah usaha logistik bumn kasihan masyarakat bayar iur,5
16,tanggung bpjs sehat berat,5
17,ngurus gatau serta bpjs sehat wajib autodebit ngelampirin atm buku rekening susah,5
18,sehat jamin penuh negara rakyat bayar premi bpjs layan sehat,5
19,drama bpjs sehat ngga selesai selesai,5
20,bpjs sehat iur turun,5
21,obat pake rujuk sakit faskes 1,5
22,sumpal kapital gitu tanggung jawab negara sehat rakyat jurus palak ala bpjs naik gitu jaga satu,5
23,hasil segitu usaha beban rakyat ketulungan pandemi iur naik,5
24,cek iur bpjs sehat apk mei bayar april gilir bayar,0
25,tolak lupa delapan mantan menteri sehat siti fadilah supari bahaya bpjs vaksin,5
26,negara biaya makan napi lepas jamin sehat iur bpjs naik,5
27,desa kota puskesmas klinik fasilitas sehat mumpuni rsud,0
28,nyuruh adek kuliah sehat bayang kerja hidup sejahtera denger cerita temen profesi sehat susah,5
29,kalau balik gimana rakyat lelah biaya negara pph ppn pbb lstrik mahal,5
30,taik bpjs kelas lapang alas rs ngasih kelas ujung ujung masuk kelas titid,5
31,gausa tinggi lu bahas bbm bpjs pln bahas layan bpjs ngaco,5
32,rakyat biaya negara bayar pajak iur bpjs harga harga negara biaya rakyat,5
33,bayar iur darimana jiwasraya asabri ngutang pertamina bpjs listrik,5
34,naikin bpjs mending jokowi bubarin bpip ksp stafsus presiden amp wapres guna hemat triliun,5
35,biaya perintah makan nyari bayar pajak bayar bpjs,5
36,kasi negara ngemis rakyat melangar psbb dapetnya cuman m boro boro biaya rakyat,5
37,rakyat rakyat hidup biaya perintah naikin bpjs listrik,5
38,negara biaya rakyat bbm turun turun bpjs sehat gratis dinaikin,5
39,bbm turun dunia turun rakyat biaya perintah naik iur bpjs,5
40,wifi bpjs rumah bayar iur bpjs,5
41,waras bpjs gitu sehat tapera gitu properti didik pangan nih duit perintah,1
42,sda limpah selenggara sehat gratis alih alih gratis rakyat rasa naik iur,5
43,perintah menomorsatukan sehat lantas bijak naik bpjs sehat kena,5
44,gaji potong bpjs sehat pilih manfaat,0
45,ngomong utama sehat lapang iur bpjs naik obat mahal beli,0
46,rumah ngapain gaji potong tapera potong pph ps bpjs ketenagakerjaan bpjs sehat,5
47,bpjs sehat jalan penuh carut marut muncul tapera juntrung wajib,5
48,biar sadar nuntut layan bpjs nomor dua lupa bayar kaga sehat,5
49,potong gaji kerja tambah bpjs sehat bp jamsostek iur tabung berat,5
50,maksud gimana pajak kantor paksa pakai bpjs motong uang rasa manfaat,5
51,rakyat susah potong pph bpjs tk sehat pensiun tega sih bikin potong,1
52,sih dah potong bpjs ketenagakerjaan sehat,5
53,calo legislatif manajemen bpjs sehat baik,1
54,bpjs sehat make sense sehat butuh manusia terus iur berat,5
55,kasih opini bpjs tau morat marit rada arah bangkrut rumah sakit bayar,5
56,potong bpjs ketenagakerjaan bpjs sehat detail fungsi,5
57,persis kayak bpjs sehat asal askesnya pns inti sih bijak salah,5
58,bpjs sehat oke cover sakit pake bpjs tk oke pensiun bp tapera,1
59,ngomong utama sehat lapang iur bpjs naik obat mahal beli nama peras,5
60,rezim bijak pakai nurani rakyat susah keppres naik bpjs sehat,5
61,potong iur bpjs naker sehat pensiun gede berat,5
62,bpjs sehat bpjs ketenagakerjaan bpjs tk pensiun tapera abis nih habis gaji,0
63,potong ditambahin bonus coba potong gaji,5
64,bpjs tk sehat tapera mayan gaji potong,5
65,swasta gaji potong phk perintah naik tarif listrik naik tarif bpjs blt salah sasar,5
66,potong slip gaji bpjs ketenagakerjaan bpjs jamin pensiun bpjs sehat tapera,0
67,bpjs sehat jalan penuh carut marut muncul tapera wajib,0
68,beban pikul blt listrik diskon bbm turun prakerja bpjs iur,5
69,bpjs kita tau latar belakang terap bijak,5
70,bayang hakiki turun kadang potong pajak hasil potong bpjs sehat,0
71,bpjs sehat iya bpjs tk iya tambah iur gaji pas umr ancur,0
72,bikin pp tapera ajar bpjs sehat,1
73,udh potong pph bpjs tk jamin pensiun bpjs sehat utang kantor,5
74,laksana hukum pakde bpjs sehat tetep,1
75,hak rakyat tuk sehat peduli bpjs tetep cuman putus ptun,1
76,potong bpjs ketenagakerjaan sehat potong tapera peras kaya sapi perah,1
77,konsep bang indonesia pungut iur bpjs ketenagakerjaan bpjs sehat habis gaji,5
78,potong bpjs asuransi sehat tanggung perintah,5
79,kasihan hamil suruh jam siang periksa kandung rsud kembang jakarta barat pake bpjs,5
80,bpjs sehat bpjs tk pph tapera dasar sapi perah,5
81,presiden negara vonis lawan hukum karhutla naik tarif bpjs sehat,0
82,asuransi sehat maksud bpjs asuransi gantung asuransi,0
83,harap cabut pres naik iur bpjs sehat perintah thr pahit masyarakat,5
84,gin negara cari duit nutupin defisit saat pandemi orang hidup susah hilang hasil,5
85,bpjs sehat bayar ama usaha enak sih goblok,5
86,enam puluh persen serta mandiri bpjs sehat ancam bayar pasti ekonomi nyungsep,5
87,bayar negara pph bpjs sehat ketenagakerjaan muncul tapera,0
88,potong bpjs tenaga kerja potong bpjs sehat potong dana pensiun kerja sungguh berat,5
89,kerja buruh alami potong iur bpjs sehat bpjs tenaga kerja susah,5
90,boneka rampok rakyat,5
