id,words
41,waras bpjs gitu sehat tapera gitu properti didik pangan nih duit perintah
51,rakyat susah potong pph bpjs tk sehat pensiun tega sih bikin potong
53,calo legislatif manajemen bpjs sehat baik
58,bpjs sehat oke cover sakit pake bpjs tk oke pensiun bp tapera
72,bikin pp tapera ajar bpjs sehat
74,laksana hukum pakde bpjs sehat tetep
75,hak rakyat tuk sehat peduli bpjs tetep cuman putus ptun
76,potong bpjs ketenagakerjaan sehat potong tapera peras kaya sapi perah
167,enam puluh persen serta mandiri stop bayar
449,kuta trauma belasting diri badan selenggara dana pelihara sehat cikal bpjs sehat kait seleweng tata kelola uang negara orba lanjut rezim
482,akal rezim rezim tukang ngakalin rakyat putus ma kait iur bpjs sehat langgar jabat presiden periode akal
634,sehat masak beli rokok bpjs sehat bungkus rokok ngeluh rangin jatah rokok
635,baca mana bpjs sehat klas tdk naik jokowi jokowi ttd berkas ngak baca baca ngak dukung jokowi malu in
636,wakil enak rakyat bagi wakil susah tau tau banget wakil umat bpjs sehat listrik api air pupuk dsb tanggung rakyat sebut hidup mandiri
637,bpjs sehat pribadi pikir rakyat rakyat bayar hasil turut rekan kerja pikir naik tarif jokowi
