id,words
12,nominal sesuai bpjs sehat ketenagakerjaan
28,bahaya serta bpjs sehat turun kelas iur
34,bpjs pimpin temu internasional bahas jamin sehat
43,bpjs sehat proses verifikasi klaim rs covid
51,henti serta bpjs sehat gimana
54,bpjs sehat ketua fpgh dorong kerja anggota
73,daftar bpjs sehat online sih teman teman
113,manteman kartun tarik bpjs sehat layan masyarakat
156,pandemi bpjs sehat lhokseumawe utama puas serta
160,bongkar sebab defisit bpjs sehat
165,kena phk daftar bpjs sehat mandiri daftar online
167,kaya biaya sehat murah rumah sakit bpjs subsidi negara
172,rantau jakarta bikin bpjs sehat
174,bpjs sehat tiket kereta api via paytren praktis mudah langsung hp untung
175,siang daftar autodebit iur bpjs sehat via apps mandiri online
232,dm bantu proses alih terima kasih
238,salam sehat informasi dm terima kasih
239,salam sehat terima dm interaksi dm terima kasih
253,rahasia data cek terima kasih
337,salam sehat sadono senang hati interaksi lanjut dm terima kasih
357,perintah aceh lanjut kerjasama program jka bpjs sehat
477,salam sehat senang hati dm terima informasi dm terima kasih
502,salam sehat mohon maaf ketidaknyamanannya laku kembang sistem silah bayar sesuai tunggak status aktif terima kasih
579,perintah laku sistem kelas tunggal serta bpjs sehat
590,dirut bpjs sehat fachmi idris putus perintah naik iur serta sesuai pres nomor koridor putus ma
596,kelas serta bpjs sehat hapus tahap
600,nunggak bpjs sehat ancam denda juta
