id,words
51,pribadi pilih bpjs sehat baik prinsip gotong royong tolong dalam
53,mending baik masyarakat puas layan bpjs sehat rasa manfaat
55,lanjut bpjs penting azas manfaat terima dukung
108,iur bpjs naik langsung sehat
111,bpjs sehat bener bantu warga pandemi
112,konsul sehat mental pake bpjs
146,artikel pasien jkn kis serta bpjs sehat lancar jalan cuci darah layan bpjs sehat puas masyarakat
267,prinsip bpjs sehat gotong royong tolong naik iur tolong tingkat faslititas bpjs sehat
272,prinsip anut bpjs sehat gotong royong tolong sambung
276,bahas bpjs sehat moga baik yuk tolong gotong royong
286,subsidi perintah kls mandiri bagi bentuk gotong royong terap bpjs sehat elemen libat tutup keluar
288,prinsip gotong royong tolong lapis masyarakat layan sehat bpjs
378,pasien hemodialisa aku bantu serta jkn kis
556,bpjs sehat layan sesuai besar
626,langsung bpjs salah ladang amal bantu lemah
672,naik iur bpjs sehat jaga lanjut program jamin sehat nasional jkn
684,bpjs sehat upaya layan baik masyaraka
