,STOP_REMOVAL,STEMMING,Text_Token,Sentiment
0,kenaikan bpjs kesehatan munculkan puluh delapan persen sentimen negatif,naik bpjs sehat muncul puluh delapan persen sentimen negatif,"['naik', 'bpjs', 'sehat', 'muncul', 'puluh', 'delapan', 'persen', 'sentimen', 'negatif']",Netral
1,rumah sakit mitra bpjs kesehatan padang terapkan antrian daring,rumah sakit mitra bpjs sehat padang terap antri daring,"['rumah', 'sakit', 'mitra', 'bpjs', 'sehat', 'padang', 'terap', 'antri', 'daring']",Netral
2,orang menolak bpjs krn prefer asuransi swasta sih dimengerti orang menolak bpjs berpikir ruginya dimengerti,orang tolak bpjs krn prefer asuransi swasta sih erti orang tolak bpjs pikir rugi erti,"['orang', 'tolak', 'bpjs', 'krn', 'prefer', 'asuransi', 'swasta', 'sih', 'erti', 'orang', 'tolak', 'bpjs', 'pikir', 'rugi', 'erti']",Netral
3,bayar bpjs sanggup percaya uang gaib triliun pemulihan ekonomi diperangi pandemi covid,bayar bpjs sanggup percaya uang gaib triliun pulih ekonomi rang pandemi covid,"['bayar', 'bpjs', 'sanggup', 'percaya', 'uang', 'gaib', 'triliun', 'pulih', 'ekonomi', 'rang', 'pandemi', 'covid']",Negatif
4,salam sehat husna covid pelayanan kantor cabang bpjs kesehatan beroperasional,salam sehat husna covid layan kantor cabang bpjs sehat operasional,"['salam', 'sehat', 'husna', 'covid', 'layan', 'kantor', 'cabang', 'bpjs', 'sehat', 'operasional']",Netral
5,presiden sby bpjs kesehatan tinta emas perjalanan bangsa,presiden sby bpjs sehat tinta emas jalan bangsa,"['presiden', 'sby', 'bpjs', 'sehat', 'tinta', 'emas', 'jalan', 'bangsa']",netral
6,pendidikan gratis Kesehatan gratis bpjs iurannya nunggak Listrik disubsidi ,didik gratis sehat gratis bpjs iur nunggak listrik subsidi,"['didik', 'gratis', 'sehat', 'gratis', 'bpjs', 'iur', 'nunggak', 'listrik', 'subsidi']",Negatif
7,iya wajib bayar layanan kesehatan bpjs kesehatan perusahaan wajib Aneh,iya wajib bayar layan sehat bpjs sehat usaha wajib aneh,"['iya', 'wajib', 'bayar', 'layan', 'sehat', 'bpjs', 'sehat', 'usaha', 'wajib', 'aneh']",Negatif
8,malas membaca,malas baca,"['malas', 'baca']",Netral
9,urusan rokok tolong bawa kerugian negara deh bawa arah kesehatan efeknya macamnya,urus rokok tolong bawa rugi negara deh bawa arah sehat efek macam,"['urus', 'rokok', 'tolong', 'bawa', 'rugi', 'negara', 'deh', 'bawa', 'arah', 'sehat', 'efek', 'macam']",Netral
10,pelayanan kesehatan bpjs ,layan sehat bpjs,"['layan', 'sehat', 'bpjs']",Negatif
11,tau nomor bpjs kesehatan gimana dibayarin kantor sampe tau nomor,tau nomor bpjs sehat gimana dibayarin kantor sampe tau nomor,"['tau', 'nomor', 'bpjs', 'sehat', 'gimana', 'dibayarin', 'kantor', 'sampe', 'tau', 'nomor']",Netral
12,didu bpjs dihapus Indonesia menggratiskan biaya kesehatan warganya,didu bpjs hapus indonesia gratis biaya sehat warga,"['didu', 'bpjs', 'hapus', 'indonesia', 'gratis', 'biaya', 'sehat', 'warga']",Netral
13,beda iuran bpjs kesehatan naek,beda iur bpjs sehat naek,"['beda', 'iur', 'bpjs', 'sehat', 'naek']",Negatif
14,pro tips pamer slip gaji itungin pph tunjangan jabatan bpjs ketenagakerjaan bpjs kesehatan anak,pro tips pamer slip gaji itungin pph tunjang jabat bpjs ketenagakerjaan bpjs sehat anak,"['pro', 'tips', 'pamer', 'slip', 'gaji', 'itungin', 'pph', 'tunjang', 'jabat', 'bpjs', 'ketenagakerjaan', 'bpjs', 'sehat', 'anak']",Netral
15,salam sehat status kartu aktif pelayanan kesehatan,salam sehat status kartu aktif layan sehat,"['salam', 'sehat', 'status', 'kartu', 'aktif', 'layan', 'sehat']",Netral
16,daftar peserta bpjs kesehatan online jkn mobile,daftar serta bpjs sehat online jkn mobile,"['daftar', 'serta', 'bpjs', 'sehat', 'online', 'jkn', 'mobile']",Netral
17,nominal sesuai bpjs kesehatan ketenagakerjaan,nominal sesuai bpjs sehat ketenagakerjaan,"['nominal', 'sesuai', 'bpjs', 'sehat', 'ketenagakerjaan']",Netral
18,korban kecelakaan bpjs kesehatan bpjs ketenagakerjaan baca lihat stnk bayar pajak,korban celaka bpjs sehat bpjs ketenagakerjaan baca lihat stnk bayar pajak,"['korban', 'celaka', 'bpjs', 'sehat', 'bpjs', 'ketenagakerjaan', 'baca', 'lihat', 'stnk', 'bayar', 'pajak']",Netral
19,bpjs salah kelola direksinya dipertahankan,bpjs salah kelola direksi tahan,"['bpjs', 'salah', 'kelola', 'direksi', 'tahan']",Negatif
20,masnya bayar bpjs kesehatan naker pegawai gajinya umr kena potongan bpjs,mas bayar bpjs sehat naker pegawai gaji umr kena potong bpjs,"['mas', 'bayar', 'bpjs', 'sehat', 'naker', 'pegawai', 'gaji', 'umr', 'kena', 'potong', 'bpjs']",Netral
21,bpjs kesehatan gopek,bpjs sehat gopek,"['bpjs', 'sehat', 'gopek']",Netral
22,nominal sesuai bpjs kesehatan ketenagakerjaan,nominal sesuai bpjs sehat ketenagakerjaan,"['nominal', 'sesuai', 'bpjs', 'sehat', 'ketenagakerjaan']",Netral
23,asuransi wajib slip gaji beda halnya bpjs kesehatan naker,asuransi wajib slip gaji beda hal bpjs sehat naker,"['asuransi', 'wajib', 'slip', 'gaji', 'beda', 'hal', 'bpjs', 'sehat', 'naker']",Netral
24,kalimat kau bilang merdeka buktinya namanya merdeka rakyat bpjs kesehatan iurannya,kalimat kau bilang merdeka bukti nama merdeka rakyat bpjs sehat iur,"['kalimat', 'kau', 'bilang', 'merdeka', 'bukti', 'nama', 'merdeka', 'rakyat', 'bpjs', 'sehat', 'iur']",Negatif
25,mikir andai beli skincare pake bpjs kesehatan muka,mikir andai beli skincare pake bpjs sehat muka,"['mikir', 'andai', 'beli', 'skincare', 'pake', 'bpjs', 'sehat', 'muka']",Netral
26,kantor bpjs kesehatan tutup buka,kantor bpjs sehat tutup buka,"['kantor', 'bpjs', 'sehat', 'tutup', 'buka']",Netral
27,masyarakat mudah pelayanan mata fasilitas kesehatan tingkat,masyarakat mudah layan mata fasilitas sehat tingkat,"['masyarakat', 'mudah', 'layan', 'mata', 'fasilitas', 'sehat', 'tingkat']",Positif
28,bpjs kesehatan ketenagakerjaan manfaatnya bagus,bpjs sehat ketenagakerjaan manfaat bagus,"['bpjs', 'sehat', 'ketenagakerjaan', 'manfaat', 'bagus']",Positif
29,pendapatmu kementerian keuangan penyesuaian iuran bpjs kesehatan berdasarkan peraturan presiden,dapat menteri uang sesuai iur bpjs sehat dasar atur presiden,"['dapat', 'menteri', 'uang', 'sesuai', 'iur', 'bpjs', 'sehat', 'dasar', 'atur', 'presiden']",Netral
30,kenaikan iuran perhitungan aktuaria,naik iur hitung aktuaria,"['naik', 'iur', 'hitung', 'aktuaria']",Netral
31,karyawan penonaktifan bpjs kesehatan selesai,karyawan nonaktif bpjs sehat selesai,"['karyawan', 'nonaktif', 'bpjs', 'sehat', 'selesai']",Netral
32,subsidi bpjs kesehatan,subsidi bpjs sehat,"['subsidi', 'bpjs', 'sehat']",Netral
33,pelayanan kesehatan bpjs,layan sehat bpjs,"['layan', 'sehat', 'bpjs']",Negatif
34,hotline semarang bpjs kesehatan buka loket mobile customer service dispendukcapil,hotline semarang bpjs sehat buka loket mobile customer service dispendukcapil,"['hotline', 'semarang', 'bpjs', 'sehat', 'buka', 'loket', 'mobile', 'customer', 'service', 'dispendukcapil']",Netral
