,Data_Text,Sentiment
0,naik bpjs sehat muncul puluh delapan persen sentimen negatif,Netral
1,rumah sakit mitra bpjs sehat padang terap antri daring,Netral
2,orang tolak bpjs krn prefer asuransi swasta sih erti orang tolak bpjs pikir rugi erti,Netral
3,bayar bpjs sanggup percaya uang gaib triliun pulih ekonomi rang pandemi covid,Negatif
4,salam sehat husna covid layan kantor cabang bpjs sehat operasional,Netral
5,presiden sby bpjs sehat tinta emas jalan bangsa,netral
6,didik gratis sehat gratis bpjs iur nunggak listrik subsidi,Negatif
7,iya wajib bayar layan sehat bpjs sehat usaha wajib aneh,Negatif
8,malas baca,Netral
9,urus rokok tolong bawa rugi negara deh bawa arah sehat efek macam,Netral
10,layan sehat bpjs,Negatif
11,tau nomor bpjs sehat gimana dibayarin kantor sampe tau nomor,Netral
12,didu bpjs hapus indonesia gratis biaya sehat warga,Netral
13,beda iur bpjs sehat naek,Negatif
14,pro tips pamer slip gaji itungin pph tunjang jabat bpjs ketenagakerjaan bpjs sehat anak,Netral
15,salam sehat status kartu aktif layan sehat,Netral
16,daftar serta bpjs sehat online jkn mobile,Netral
17,nominal sesuai bpjs sehat ketenagakerjaan,Netral
18,korban celaka bpjs sehat bpjs ketenagakerjaan baca lihat stnk bayar pajak,Netral
19,bpjs salah kelola direksi tahan,Negatif
20,mas bayar bpjs sehat naker pegawai gaji umr kena potong bpjs,Netral
21,bpjs sehat gopek,Netral
22,nominal sesuai bpjs sehat ketenagakerjaan,Netral
23,asuransi wajib slip gaji beda hal bpjs sehat naker,Netral
24,kalimat kau bilang merdeka bukti nama merdeka rakyat bpjs sehat iur,Negatif
25,mikir andai beli skincare pake bpjs sehat muka,Netral
26,kantor bpjs sehat tutup buka,Netral
27,masyarakat mudah layan mata fasilitas sehat tingkat,Positif
28,bpjs sehat ketenagakerjaan manfaat bagus,Positif
29,dapat menteri uang sesuai iur bpjs sehat dasar atur presiden,Netral
30,naik iur hitung aktuaria,Netral
31,karyawan nonaktif bpjs sehat selesai,Netral
32,subsidi bpjs sehat,Netral
33,layan sehat bpjs,Negatif
34,hotline semarang bpjs sehat buka loket mobile customer service dispendukcapil,Netral
35,perintah iur bpjs sehat kelas ratus delapan puluh enam ribu rupiah,Netral
36,iur bpjs sehat masyarakat tanggung perintah,Netral
37,salam sehat anto mohon maaf layan sehat jamin bpjs sehat sesuai indikasi,Netral
38,bpjs rumah sakit vs bpjs vs rakyat layan bpjs jelek disalahin rs,Netral
39,bahaya serta bpjs sehat turun kelas iur,Netral
40,tarif iur bpjs sehat serta mandiri jalan benah sistem layan sehat,Netral
41,emang rokok orang orang dewasa mba anak pajak rokok nutup iur bpjs,Netral
42,bahaya serta bpjs sehat turun kelas iur,Netral
43,sulit rujuk rumah sakit sesuai arah dokter faskes tingkat ajar bpjs,Negatif
44,tolong info ka kait psbb sebuhungan pandemi jam operasional kantor bpjs,Netral
45,sebut iur bpjs sehat serta mandiri laku juli sesuai hitung biaya,Netral
46,naik iur bpjs perintah naik iur bpjs sehat terbit atur presiden,Netral
47,heran bpjs bayar tenaga sehat,Negatif
48,bpjs pimpin temu internasional bahas jamin sehat,Netral
49,sahabat bpjs sehat ada hackathon programmer praktisi ti indonesia,Netral
50,pimpin temu virtual internasional bpjs bahas jamin sehat fpgh indonesia,Netral
51,alhamdulillah bpjs sehat bener bantu warga pandemi,Positif
52,jamin paksa asuransi sehat tambah paksa bpjs,Negatif
53,miris sehat jadi bisnis rakyat palak penting kapitalis,Negatif
54,konsul sehat mental pake bpjs,Netral
55,bpjs iur banding premi asuransi sehat poin plus,Positif
56,jamsostek ketenagakerjaan bpjs sehat adalagi bp tapera dapat bayar iur mulu,Negatif
57,jokowi beban rakyat miskin covid turun bbm naik bpjs sehat cebong sakit biaya,Negatif
58,bayar serta mandiri bpjs sehat auto debit,Netral
59,pemprov aceh tanggung iur bpjs sehat juta warga,Netral
60,bpjs telat bayar apd bayar nama doang tri sehat dalem sakit,Negatif
61,bpjs pimpin temu internasional bahas jamin sehat,Netral
62,back up asuransi basic sehat minimal bpjs kalau rezeki swasta biar jamin,Netral
63,naik iur org hasil minim bpjs subsidi perintah,Positif
64,simpul pro kontra naik iur bpjs sehat tau,Netral
65,manfaat berkat jkn kis serta bpjs sehat lancar jalan cuci darah,Positif
66,indonesia daulat jabat ketua fpgh ministerial retreat,Netral
67,bpjs sehat proses verifikasi klaim rs covid,Netral
68,terimakasih bpjs karna tanggung obat kalau bpjs tau bayar,Positif
69,berterimakasih allah karna sehat hak bpjs,Netral
70,tabung banget laki rekening sampe nabung,Netral
71,hati lu asuransi lu sakit hati gegara cewek lu referendum,Netral
72,anak udh santai kis suami perlu lahir anak ngurus ribet,Negatif
73,jkn kis harisomawati salah serta bpjs sehat lancar jalan cuci darah,Positif
74,salah fasilitas bpjs sehat jalan cuci darah gratis bukti,Positif
75,harisomawari salah serta jkn kis lancar jalan cuci darah fasilitas bpjs sehat,Positif
76,syukur masyarakat bantu banget jkn kis serta bpjs sehat lancar jalan cuci darah,Positif
77,budget segitu bpjs dapetin fasilitas sehat doang,Netral
78,kurir salah usaha logistik bumn kasihan masyarakat bayar iur,Negatif
79,asuransi sehat swasta komersial okok bayar premi asuransi,Netral
80,salam sehat proses daftar serta bpjs sehat daring,Netral
81,indonesia public institute pamor presiden jokowi gerus gara gara naik iur bpjs sehat,Netral
82,bpjs sehat bantu warga pandemi,Positif
83,konsul sehat mental pake bpjs manfaat,Positif
84,naik iur bpjs biar bpjs hidup bayang bpjs tanggung biaya rumah sakit,Positif
85,henti serta bpjs sehat gimana,Netral
86,tanggung bpjs sehat berat,Negatif
87,salam sehat kiki bantu cek data silah bantu informasi nomor kartu,Netral
88,sahabat vika hubung bpjs sehat care center,Netral
89,bpjs wajib sehat ketenagakerjaan ketenagakerjaan lumayan banget guna,Positif
90,bpjs sehat ketua fpgh dorong kerja anggota,Netral
91,widy daftar autodebit bayar bpjs sehat,Netral
92,kerja buruh tenaga medis tenaga sehat kategori,Netral
93,salam sehat hendro bantu cek data silah bantu informasi,Netral
94,bpjs sehat gelar kompetisi bidang teknologi,Netral
95,formulir daftar akses banner website bpjs sehat juni,Netral
96,sikap bem terkaik naik bpjs tengah kondisi covid ekonomi sulit terpa negeri,Netral
97,kepala cabang bpjs sehat kabupaten karawang bagi sembako buruh fspmi masyarakat butuh,Netral
98,kartu hilang lupa nomor kartu nomor,Netral
99,coba rs khusus ortopedi surabaya kayak operasi wa,Netral
100,bantu cek data silah bantu informasi nomor kartu bpjs sehat,Netral
101,alhamdulillah terima kasih lunas tunggak bpjs moga sehat,Positif
102,ngurus gatau serta bpjs sehat wajib autodebit ngelampirin atm buku rekening susah,Negatif
103,sadar tax ratio bawah belas,Netral
104,alam nunggu ortu hemodialisis bersih darah jadi panik jamin lancar berkat jkn kis,Positif
105,komunisme ideologi koreksi kapitalisme sumbang dana,Netral
106,semenjak paham sehat ngandalin bpjs,Netral
107,salon konteks estetika biar dicover bpjs untuk sedia fasilitas sehat,Netral
108,iur bpjs naik langsung sehat rakyat,Positif
109,lpes drone emprit bedah respon publik kait naik tarif bpjs sehat,Netral
110,selamat siang bpjs sehat bayar bpjs sehat via m banking knp error,Netral
111,antri pagi bpjs sehat samsat bulak kapal bekas pake masker jaga jarak,Positif
112,puluh tujuh mei ratus sembilan puluh rumah sakit aju klaim khusus covid kantor cabang,Netral
113,sobat tau september bayar bpjs sehat wajib autodebet,Netral
114,daftar bpjs sehat online sih teman teman,Netral
115,bpjs sehat gelar lomba hackathon hadiah ratus puluh juta,Netral
116,naik iur langsung bpjs sehat yuk,Positif
117,bpjs sehat kenal jkn kis dunia internasional,Netral
118,info bpjs sehat dokter praktek pratama bpjs sehat konsul sehat,Netral
119,hadir program jkn kis buka akses layan sehat jangkau kualitas bantu,Positif
120,sehat jamin penuh negara rakyat bayar premi bpjs layan sehat,Negatif
121,drama bpjs sehat ngga selesai selesai,Negatif
122,enam puluh persen serta mandiri bpjs sehat ancam bayar,Netral
123,butuh informasi terima situasi sehat tau bpjs sedia chika,Netral
124,wabah corona bpjs layan sepenuh hati baru nih masyarakat aplikasi daring bas media sosial cika suara interaktiv jkn coba,Positif
125,chika chat asistant jkn layan info adu chat respon artifical intellegence sistem facebook messanger telegram whatsapp,Netral
126,layan bpjs sehat nama unik vika chika dua fungsi manfaat beda lho,Netral
127,info repot rumah oleh faskes bpjs fasilitas servis aplikasi daring bas media sosial jkn chika voice interactive jkn vika,Netral
128,guna vika chika manfaat salah satu dukung social distance rumah ecek tagih adu coba nih,Positif
129,inovasi bagus tengah wabah corona dkeluarkan bpjs sehat mana serta aplikasi bas medsos chat jkn chika voice interactive jkn vika,Positif
130,suka balas cepat cepat balas chat doi,Positif
131,layan vika chika bpjs sehat ri mudah masyarakat ecek status tagih serta jkn kis pokok support bpjs sehat nih,Positif
132,orang sakit ini risiko covid,Netral
133,adu chika ini layan ai masalah lewat jejaring sosial layan chatting ini bentuk layan bpjs sehat mudah masyarakat,Netral
134,bpjs sehat iur turun,Negatif
135,obat pake rujuk sakit faskes 1,Negatif
136,teknologi zaman deh aplikasi smartphone suara,Netral
137,ecek status tagih serta jkn kis bpjs sehat care center layan vika berita adu chat asistant jkn chika simple praktis,Positif
138,bpjs sehat bantu masyarakat layan informasi vika chika,Positif
139,terobos era serba digital tengah wabah virus corona sesuai komitmen bpjs sehat layan baik masyarakat jadi ragu pakai layan chika vika save poster,Netral
140,bangga support bpjs sehat dukung layan vika voice interactive jkn chika chat asistant jkn masyarakat layan,Positif
141,bpjs sehat luncur chat assistent jkn chika voice interactive jkn vika fungsi bantu masyarakat layan informasi mana cek nomernya poster sob,Netral
142,senang banget bpjs sehat lengkap layan dukung vika mudah akses,Positif
143,tau nih layan aplikasi mobile jkn aplikasi mudah masyarakat online kantor bpjs sehat,Positif
144,nih bpjs sehat salah layan masyarakat solusi social distancing bpjs sedia aplikasi jkn layan vika chika,Netral
145,sumpal kapital gitu tanggung jawab negara sehat rakyat jurus palak ala bpjs naik gitu jaga satu,Negatif
146,syarat swab tes pcr warga negara masuk jakarta biaya negara,Netral
147,hasil segitu usaha beban rakyat ketulungan pandemi iur naik,Negatif
148,bpjs sehat sederhana aju klaim pasien covid syarat mudah,Netral
149,salam sehat bayi lahir serta jamin sehat wajib daftar bpjs sehat,Netral
150,cek iur bpjs sehat apk mei bayar april gilir bayar,Negatif
151,tolak lupa delapan mantan menteri sehat siti fadilah supari bahaya bpjs vaksin,Negatif
152,iur bpjs sehat resmi pandemi,Netral
153,negara biaya makan napi lepas jamin sehat iur bpjs naik,Negatif
154,desa kota puskesmas klinik fasilitas sehat mumpuni rsud,Negatif
155,bpjs sehat hapus baik layan kasihan rakyat,Netral
156,naik iur bpjs negara status darurat sehat ingin terap new normal positif naik,Netral
157,rakyat kelas satu ajak bikin koperasi sehat,Netral
158,bpjs sehat layan baik pandemi covid,Positif
159,nyuruh adek kuliah sehat bayang kerja hidup sejahtera denger cerita temen profesi sehat susah,Negatif
160,kalau balik gimana rakyat lelah biaya negara pph ppn pbb lstrik mahal,Negatif
161,iur bpjs sehat perintah cabut putus rugi rakyat,Netral
162,daftar bayi lahir langsung kantor bpjs sehat bawa surat terang lahir,Netral
163,bpjs sehat cuci darah mudah,Positif
164,sadar informasi banget teliti alas iur,Positif
165,kelas kelas negara hadir bantu masyarakat,Positif
166,kali dangkal informasi riuh baca biar paham kait bijak bpjs sehat,Positif
167,gotong royong baik iur bpjs sehat,Positif
168,masyarakat puas layan bpjs sehat rasa berat kabar naik iur,Netral
169,bpjs sehat mending hapus baik,Netral
170,bayang tutup derita kanker gagal ginjal cuci darah,Netral
171,naik tarif iur bpjs opsi sulit langsung bpjs sehat jamin sehat masyarakat,Positif
172,naik iur bpjs kelas kelas kelas naik orang tengah,Netral
173,sih bpjs tutup bikin susah rakyat sesuai tarif bpjs bantu masyarakat butuh,Positif
174,naik tarif jd debat bantu operasional bpjs layan maksimal,Netral
175,ayo pilih bpjs sehat mending hapus baik,Netral
176,sebentar new normal lanjut bpjs sehat baik moga temu jalan baik masyarakat butuh,Netral
