Text;Sentiment;Kesesuaian
kenaikan bpjs kesehatan munculkan empat puluh delapan persen sentimen negatif;Netral;
rumah sakit mitra bpjs kesehatan di padang terapkan antrian daring;Netral;
orang menolak bpjs krn lebih prefer asuransi swasta lain sih bisa dimengerti tapi orang menolak bpjs karena berpikir akan ruginya tidak bisa dimengerti;Netral;
bayar bpjs aja ga sanggup siapa juga yang mau percaya uang gaib triliun pemulihan ekonomi yang diperangi pandemi covid;Negatif;
salam sehat ibu husna selama masa covid pelayanan di kantor cabang bpjs kesehatan beroperasional;Netral;
presiden sby sampai bpjs kesehatan tinta emas perjalanan bangsa;netral;positif
pendidikan gratis nyatanya tidak Kesehatan gratis nyatanya bpjs iurannya naik banyak yang nunggak Listrik disubsidi ;Negatif;
iya kang udah wajib walau udah ikut bayar layanan kesehatan lain bpjs kesehatan perusahaan itu wajib Aneh;Negatif;
jangan malas membaca ya;Netral;
urusan rokok tolong jangan bawa kerugian negara deh bawa ke arah kesehatan aja efeknya apa dan segala macamnya;Netral;
pelayanan kesehatan kurang baik bpjs malah naik ;Negatif;
min kalo mau tau nomor bpjs kesehatan gimana ya dibayarin kantor jadi sampe sekarang gak tau nomor;Netral;
pak didu apabila bpjs dihapus apakah mungkin Indonesia cukup menggratiskan semua biaya kesehatan warganya;Netral;
udah pasti beda dong kan iuran bpjs kesehatan jadi naek;Negatif;
pro tips kalo mau pamer slip gaji minta itungin pph tunjangan jabatan bpjs ketenagakerjaan bpjs kesehatan sama anak;Netral;negatif
salam sehat bapak ibu selama status kartu aktif masih bisa digunakan pelayanan kesehatan;Netral;
daftar peserta bpjs kesehatan online jkn mobile;Netral;
jelas dong nominal ga sesuai ga ada bpjs kesehatan ketenagakerjaan;Netral;
korban kecelakaan yang ga punya bpjs kesehatan bpjs ketenagakerjaan baca dan lihat stnk anda saat bayar pajak;Netral;
bpjs salah kelola tapi direksinya dipertahankan;Negatif;
masnya juga ga bayar bpjs kesehatan dan naker pegawai saya yang gajinya umr aja kena potongan bpjs;Netral;
bpjs kesehatan aja gopek sendiri;Netral;
