text;sentiment
bayar bpjs sanggup percaya uang gaib triliun pulih ekonomi rang pandemi covid;Negatif
didik gratis sehat gratis bpjs iur nunggak listrik subsidi;Negatif
iya wajib bayar layan sehat bpjs sehat usaha wajib aneh;Negatif
layan sehat bpjs;Negatif
beda iur bpjs sehat naek;Negatif
bpjs salah kelola direksi tahan;Negatif
kalimat kau bilang merdeka bukti nama merdeka rakyat bpjs sehat iur;Negatif
layan sehat bpjs;Negatif
sulit rujuk rumah sakit sesuai arah dokter faskes tingkat ajar bpjs;Negatif
heran bpjs bayar tenaga sehat;Negatif
jamin paksa asuransi sehat tambah paksa bpjs;Negatif
miris sehat jadi bisnis rakyat palak penting kapitalis;Negatif
jamsostek ketenagakerjaan bpjs sehat adalagi bp tapera dapat bayar iur mulu;Negatif
jokowi beban rakyat miskin covid turun bbm naik bpjs sehat cebong sakit biaya;Negatif
bpjs telat bayar apd bayar nama doang tri sehat dalem sakit;Negatif
anak udh santai kis suami perlu lahir anak ngurus ribet;Negatif
kurir salah usaha logistik bumn kasihan masyarakat bayar iur;Negatif
tanggung bpjs sehat berat;Negatif
ngurus gatau serta bpjs sehat wajib autodebit ngelampirin atm buku rekening susah;Negatif
sehat jamin penuh negara rakyat bayar premi bpjs layan sehat;Negatif
drama bpjs sehat ngga selesai selesai;Negatif
bpjs sehat iur turun;Negatif
obat pake rujuk sakit faskes 1;Negatif
sumpal kapital gitu tanggung jawab negara sehat rakyat jurus palak ala bpjs naik gitu jaga satu;Negatif
hasil segitu usaha beban rakyat ketulungan pandemi iur naik;Negatif
cek iur bpjs sehat apk mei bayar april gilir bayar;Negatif
tolak lupa delapan mantan menteri sehat siti fadilah supari bahaya bpjs vaksin;Negatif
negara biaya makan napi lepas jamin sehat iur bpjs naik;Negatif
desa kota puskesmas klinik fasilitas sehat mumpuni rsud;Negatif
nyuruh adek kuliah sehat bayang kerja hidup sejahtera denger cerita temen profesi sehat susah;Negatif
kalau balik gimana rakyat lelah biaya negara pph ppn pbb lstrik mahal;Negatif
taik bpjs kelas lapang alas rs ngasih kelas ujung ujung masuk kelas titid;Negatif
gausa tinggi lu bahas bbm bpjs pln bahas layan bpjs ngaco;Negatif
rakyat biaya negara bayar pajak iur bpjs harga harga negara biaya rakyat;Negatif
bayar iur darimana jiwasraya asabri ngutang pertamina bpjs listrik;Negatif
naikin bpjs mending jokowi bubarin bpip ksp stafsus presiden amp wapres guna hemat triliun;Negatif
biaya perintah makan nyari bayar pajak bayar bpjs;Negatif
kasi negara ngemis rakyat melangar psbb dapetnya cuman m boro boro biaya rakyat;Negatif
rakyat rakyat hidup biaya perintah naikin bpjs listrik;Negatif
negara biaya rakyat bbm turun turun bpjs sehat gratis dinaikin;Negatif
bbm turun dunia turun rakyat biaya perintah naik iur bpjs;Negatif
wifi bpjs rumah bayar iur bpjs;Negatif
waras bpjs gitu sehat tapera gitu properti didik pangan nih duit perintah;Negatif
sda limpah selenggara sehat gratis alih alih gratis rakyat rasa naik iur;Negatif
perintah menomorsatukan sehat lantas bijak naik bpjs sehat kena;Negatif
gaji potong bpjs sehat pilih manfaat;Negatif
ngomong utama sehat lapang iur bpjs naik obat mahal beli;Negatif
rumah ngapain gaji potong tapera potong pph ps bpjs ketenagakerjaan bpjs sehat;Negatif
bpjs sehat jalan penuh carut marut muncul tapera juntrung wajib;Negatif
biar sadar nuntut layan bpjs nomor dua lupa bayar kaga sehat;Negatif
potong gaji kerja tambah bpjs sehat bp jamsostek iur tabung berat;Negatif
maksud gimana pajak kantor paksa pakai bpjs motong uang rasa manfaat;Negatif
rakyat susah potong pph bpjs tk sehat pensiun tega sih bikin potong;Negatif
sih dah potong bpjs ketenagakerjaan sehat;Negatif
calo legislatif manajemen bpjs sehat baik;Negatif
bpjs sehat make sense sehat butuh manusia terus iur berat;Negatif
kasih opini bpjs tau morat marit rada arah bangkrut rumah sakit bayar;Negatif
potong bpjs ketenagakerjaan bpjs sehat detail fungsi;Negatif
persis kayak bpjs sehat asal askesnya pns inti sih bijak salah;Negatif
bpjs sehat oke cover sakit pake bpjs tk oke pensiun bp tapera;Negatif
ngomong utama sehat lapang iur bpjs naik obat mahal beli nama peras;Negatif
rezim bijak pakai nurani rakyat susah keppres naik bpjs sehat;Negatif
potong iur bpjs naker sehat pensiun gede berat;Negatif
bpjs sehat bpjs ketenagakerjaan bpjs tk pensiun tapera abis nih habis gaji;Negatif
potong ditambahin bonus coba potong gaji;Negatif
waras bpjs gitu sehat tapera gitu properti didik pangan nih duit perintah;Negatif
bpjs tk sehat tapera mayan gaji potong;Negatif
swasta gaji potong phk perintah naik tarif listrik naik tarif bpjs blt salah sasar;Negatif
potong slip gaji bpjs ketenagakerjaan bpjs jamin pensiun bpjs sehat tapera;Negatif
bpjs sehat jalan penuh carut marut muncul tapera wajib;Negatif
beban pikul blt listrik diskon bbm turun prakerja bpjs iur;Negatif
bpjs kita tau latar belakang terap bijak;Negatif
bayang hakiki turun kadang potong pajak hasil potong bpjs sehat;Negatif
bpjs sehat iya bpjs tk iya tambah iur gaji pas umr ancur;Negatif
bikin pp tapera ajar bpjs sehat;Negatif
udh potong pph bpjs tk jamin pensiun bpjs sehat utang kantor;Negatif
laksana hukum pakde bpjs sehat tetep;Negatif
hak rakyat tuk sehat peduli bpjs tetep cuman putus ptun;Negatif
bpjs sehat oke cover sakit pake bpjs tk oke pensiun bp tapera;Negatif
potong bpjs ketenagakerjaan sehat potong tapera peras kaya sapi perah;Negatif
konsep bang indonesia pungut iur bpjs ketenagakerjaan bpjs sehat habis gaji;Negatif
potong bpjs asuransi sehat tanggung perintah;Negatif
kasihan hamil suruh jam siang periksa kandung rsud kembang jakarta barat pake bpjs;Negatif
bpjs sehat bpjs tk pph tapera dasar sapi perah;Negatif
presiden negara vonis lawan hukum karhutla naik tarif bpjs sehat;Negatif
asuransi sehat maksud bpjs asuransi gantung asuransi;Negatif
harap cabut pres naik iur bpjs sehat perintah thr pahit masyarakat;Negatif
gin negara cari duit nutupin defisit saat pandemi orang hidup susah hilang hasil;Negatif
bpjs sehat bayar ama usaha enak sih goblok;Negatif
enam puluh persen serta mandiri bpjs sehat ancam bayar pasti ekonomi nyungsep;Negatif
bayar negara pph bpjs sehat ketenagakerjaan muncul tapera;Negatif
potong bpjs tenaga kerja potong bpjs sehat potong dana pensiun kerja sungguh berat;Negatif
kerja buruh alami potong iur bpjs sehat bpjs tenaga kerja susah;Negatif
boneka rampok rakyat;Negatif
bpjs sehat sanksi tabung tapera sanksi gilir nyata lawan hukum hakim adil nyengir doang;Negatif
punten potong bpjs ketenagakerjaan sehat nambah koma persen rumah;Negatif
bener gaji mentok umr potong bpjs sehat tunjang tua potong;Negatif
bpjs kessehatan tapera dicairin umur ujur tapera nikmatin rumah;Negatif
nambah potong upah mah bpjs ketenagakerjaan bpjs pensiun bpjs sehat tapera;Negatif
salah kelola direksi tahan;Negatif
pajak paham negara butuh bangun pelihara itung zakat islam koma persen bpjs sehat tapera;Negatif
awat pasien covid klaim perintah hasil pcr positif hasil pcr periksa pakai dana rugi mahal;Negatif
masuk jamin tua gambar persentase ragu;Negatif
gotong ria bpjs sehat sehat sakit pusat pemda negara masyarakat rakyat rugi;Negatif
lelucon bpjs tk seringkali ambil bpjs sehat skrg ambil hak rakyat;Negatif
potong wajib perintah indonesia rakyat bpjs sehat bpjs ketenagakerjaan pph tapera rugi;Negatif
warga tahun pake asuransi sehat pake kpr btn aman lancar rumah pake bpjs tolak rumah sakit;Negatif
perintah bikin program serah paksa rakyat wajib bpjs sehat ketenagakerjaan;Negatif
pribadi nggak suka bijak tapera hitung hitung ngga gin hitung bikin orang ngga bayar premi bpjs sehat nggak tuju nggak disinformasi;Negatif
ratus ribu bayar perlu bpjs sehat nombok bantuin masyarakat deh;Negatif
pecat karyawan biar karyawan sejahtera dapet bpjs sehat itu iur berat;Negatif
rumah duit pakai kelola bunga makan bpjs tenaga kerja bpjs sehat tapera rakyat objek derita;Negatif
kasi lo cape cape bayar asuransi sehat bpjs lu sakit minimal celaka;Negatif
sumbangsih pajak pabrik rokok ratus triliun dipake nalangin bpjs sumbangsih gede ngerusak sehat masyarakat hasil apa kelola duit;Negatif
potong pajak potong bpjs sehat potong bpjs pensiun potong tapera habis gaji;Negatif
dasar hitung tentu gaji upah tetap program jamin sosial maksimal belas juta kaya bpjs sehat pakai;Negatif
gas bmm air beli negara perintah kelola harga bantu rakyat pandemi sehat kelola perintah ma kangkang rakyat korban tapera;Negatif
tagih negara bulan pph bpjs sehat ketenagakerjaan muncul tapera utang meres rakyat kntl;Negatif
paham bpjs wajib bayar kerja emang butuh sehat paham layan bpjs hancur;Negatif
pph bpjs sehat bpjs tk tapera cicil kpr habis gaji;Negatif
potong bpjs tenaga kerja bpjs sehat tapera;Negatif
lelucon bpjs tk seringkali gabisa ambil bpjs sehat ambil hak rakyat;Negatif
bpjs sehat ketenagakerjaan muncul tapera berat;Negatif
potong wajib perintah indonesia rakyat bpjs sehat bpjs ketenagakerjaan pph tapera nilai berat masyarakat;Negatif
gaji puluh juta gaji umk gimana standar umk kabupaten gunungkidul jogja koma tujuh juta potong bpjs sehat ketenagakerjaan potong tapera;Negatif
indah hidup negeri wakanda hasil kerja peras keringat terima gaji sunat perintah iur bpjs sehat keluarga pakai jht pph besar puluh persen;Negatif
potong bpjs tenaga kerja potong bpjs sehat potong dana pensiun kerja pph himpit tabung tapera dana haji embat;Negatif
habis gaji pegawai bpjs sehat bpjs jht bpjs pensiun pajak rumah;Negatif
