,words,tf,idf,tfidf
0,percaya,1.0,5.991464547107982,5.991464547107982
1,sanggup,2.0,5.298317366548036,10.596634733096073
2,triliun,3.0,4.892852258439873,14.678556775319617
3,bayar,63.0,2.059638914383656,129.7572516061703
4,pulih,1.0,5.991464547107982,5.991464547107982
5,gaib,1.0,5.991464547107982,5.991464547107982
6,pandemi,30.0,2.772588722239781,83.17766166719343
7,rang,1.0,2.900422093749666,2.900422093749666
8,covid,23.0,3.0470255679415414,70.08158806265546
9,bpjs,465.0,0.08066790306745471,37.51057492636644
10,ekonomi,3.0,4.892852258439873,14.678556775319617
11,uang,15.0,2.995732273553991,44.93598410330986
12,gratis,11.0,3.912023005428146,43.0322530597096
13,nunggak,2.0,5.298317366548036,10.596634733096073
14,iur,122.0,1.2819343457956478,156.39599018706903
15,listrik,12.0,3.506557897319982,42.07869476783978
16,subsidi,13.0,3.6888794541139363,47.955432903481174
17,sehat,377.0,0.12499649017468524,47.12367679585633
18,didik,4.0,4.605170185988092,18.420680743952367
19,wajib,24.0,2.946942109384559,70.72661062522943
20,layan,27.0,2.772588722239781,74.8598955004741
21,usaha,17.0,3.3524072174927233,56.9909226973763
22,aneh,2.0,5.298317366548036,10.596634733096073
23,iya,7.0,4.382026634673881,30.67418644271717
24,naek,1.0,5.991464547107982,5.991464547107982
25,beda,3.0,4.892852258439873,14.678556775319617
26,kelola,14.0,3.7942399697717626,53.119359576804676
27,tahan,2.0,5.298317366548036,10.596634733096073
28,direksi,2.0,5.298317366548036,10.596634733096073
29,salah,11.0,3.506557897319982,38.5721368705198
30,merdeka,4.0,5.298317366548036,21.193269466192145
31,rakyat,109.0,1.5141277326297755,165.03992285664552
32,nama,9.0,3.7942399697717626,34.14815972794587
33,kalimat,2.0,5.298317366548036,10.596634733096073
34,bukti,5.0,4.382026634673881,21.910133173369406
35,kau,2.0,5.298317366548036,10.596634733096073
36,bilang,9.0,3.7942399697717626,34.14815972794587
37,arah,2.0,4.605170185988092,9.210340371976184
38,rujuk,3.0,4.892852258439873,14.678556775319617
39,ajar,4.0,4.199705077879927,16.79882031151971
40,sulit,8.0,3.912023005428146,31.296184043425168
41,faskes,3.0,4.892852258439873,14.678556775319617
42,sesuai,3.0,4.892852258439873,14.678556775319617
43,sakit,20.0,3.158251203051766,63.16502406103532
44,rumah,40.0,2.4651040224918206,98.60416089967282
45,dokter,3.0,4.892852258439873,14.678556775319617
46,tingkat,6.0,4.199705077879927,25.198230467279565
47,tenaga,14.0,1.8483298207164491,25.876617490030288
48,heran,2.0,5.298317366548036,10.596634733096073
49,paksa,11.0,3.7942399697717626,41.736639667489385
50,asuransi,27.0,2.946942109384559,79.5674369533831
51,tambah,15.0,3.2188758248682006,48.28313737302301
52,jamin,26.0,2.855970331178832,74.25522861064964
53,miris,2.0,5.298317366548036,10.596634733096073
54,jadi,2.0,5.298317366548036,10.596634733096073
55,bisnis,1.0,5.991464547107982,5.991464547107982
56,penting,2.0,5.298317366548036,10.596634733096073
57,kapitalis,3.0,4.892852258439873,14.678556775319617
58,palak,3.0,4.892852258439873,14.678556775319617
59,jamsostek,8.0,3.912023005428146,31.296184043425168
60,tapera,79.0,1.6873994539038122,133.30455685840116
61,mulu,2.0,5.298317366548036,10.596634733096073
62,bp,13.0,0.08066790306745471,1.0486827398769112
63,adalagi,2.0,5.298317366548036,10.596634733096073
64,ketenagakerjaan,47.0,2.120263536200091,99.65238620140428
65,dapat,4.0,4.605170185988092,18.420680743952367
66,jokowi,13.0,3.4265151896464454,44.54469746540379
67,cebong,4.0,4.605170185988092,18.420680743952367
68,turun,25.0,3.101092789211817,77.52731973029543
69,miskin,6.0,4.382026634673881,26.292159808043287
70,beban,9.0,4.045554398052669,36.409989582474026
71,bbm,17.0,3.158251203051766,53.690270451880025
72,naik,72.0,1.7147984280919266,123.46548682261871
73,biaya,17.0,3.158251203051766,53.690270451880025
74,tri,1.0,2.946942109384559,2.946942109384559
75,telat,3.0,4.892852258439873,14.678556775319617
76,dalem,1.0,5.991464547107982,5.991464547107982
77,apd,1.0,5.991464547107982,5.991464547107982
78,doang,5.0,4.382026634673881,21.910133173369406
79,anak,4.0,4.892852258439873,19.57140903375949
80,suami,1.0,5.991464547107982,5.991464547107982
81,ngurus,5.0,3.912023005428146,19.56011502714073
82,perlu,2.0,5.298317366548036,10.596634733096073
83,lahir,2.0,5.298317366548036,10.596634733096073
84,udh,4.0,4.605170185988092,18.420680743952367
85,santai,1.0,5.991464547107982,5.991464547107982
86,kis,1.0,5.298317366548036,5.298317366548036
87,ribet,7.0,4.045554398052669,28.318880786368684
88,logistik,2.0,5.298317366548036,10.596634733096073
89,masyarakat,32.0,2.557477342622836,81.83927496393075
90,bumn,6.0,4.199705077879927,25.198230467279565
91,kasihan,5.0,4.382026634673881,21.910133173369406
92,kurir,2.0,5.298317366548036,10.596634733096073
93,berat,24.0,2.772588722239781,66.54212933375474
94,tanggung,14.0,3.4265151896464454,47.97121265505024
95,rekening,2.0,5.298317366548036,10.596634733096073
96,atm,2.0,5.298317366548036,10.596634733096073
97,autodebit,2.0,5.298317366548036,10.596634733096073
98,serta,9.0,3.7942399697717626,34.14815972794587
99,ngelampirin,1.0,5.991464547107982,5.991464547107982
100,gatau,2.0,5.298317366548036,10.596634733096073
101,buku,2.0,5.298317366548036,10.596634733096073
102,susah,19.0,3.101092789211817,58.920762995024525
103,premi,3.0,4.892852258439873,14.678556775319617
104,penuh,6.0,4.045554398052669,24.273326388316015
105,negara,55.0,2.207274913189721,121.40012022543466
106,selesai,2.0,5.991464547107982,11.982929094215963
107,ngga,5.0,2.5257286443082556,12.628643221541278
108,drama,1.0,5.991464547107982,5.991464547107982
109,1,1.0,5.991464547107982,5.991464547107982
110,pake,17.0,3.2188758248682006,54.72088902275941
111,obat,9.0,3.7942399697717626,34.14815972794587
112,gitu,8.0,3.5935692743096115,28.748554194476892
113,jurus,2.0,5.298317366548036,10.596634733096073
114,satu,4.0,4.382026634673881,17.528106538695525
115,jaga,7.0,4.045554398052669,28.318880786368684
116,jawab,2.0,5.298317366548036,10.596634733096073
117,sumpal,2.0,5.298317366548036,10.596634733096073
118,ala,2.0,2.3538783873815965,4.707756774763193
119,kapital,2.0,4.382026634673881,8.764053269347762
120,hasil,16.0,3.283414346005772,52.53462953609235
121,segitu,5.0,4.382026634673881,21.910133173369406
122,ketulungan,1.0,5.991464547107982,5.991464547107982
123,april,2.0,5.298317366548036,10.596634733096073
124,mei,3.0,4.892852258439873,14.678556775319617
125,gilir,5.0,4.382026634673881,21.910133173369406
126,cek,2.0,4.605170185988092,9.210340371976184
127,apk,2.0,5.298317366548036,10.596634733096073
128,menteri,3.0,4.892852258439873,14.678556775319617
129,supari,2.0,5.298317366548036,10.596634733096073
130,mantan,2.0,5.298317366548036,10.596634733096073
131,tolak,7.0,4.045554398052669,28.318880786368684
132,vaksin,1.0,5.991464547107982,5.991464547107982
133,siti,2.0,4.605170185988092,9.210340371976184
134,fadilah,2.0,5.298317366548036,10.596634733096073
135,bahaya,2.0,5.298317366548036,10.596634733096073
136,delapan,3.0,4.892852258439873,14.678556775319617
137,lupa,6.0,4.199705077879927,25.198230467279565
138,lepas,3.0,4.892852258439873,14.678556775319617
139,napi,2.0,5.298317366548036,10.596634733096073
140,makan,5.0,4.382026634673881,21.910133173369406
141,klinik,2.0,5.298317366548036,10.596634733096073
142,puskesmas,2.0,5.298317366548036,10.596634733096073
143,fasilitas,5.0,4.382026634673881,21.910133173369406
144,rsud,3.0,4.892852258439873,14.678556775319617
145,kota,3.0,4.605170185988092,13.815510557964275
146,mumpuni,1.0,5.991464547107982,5.991464547107982
147,desa,1.0,5.991464547107982,5.991464547107982
148,hidup,8.0,3.912023005428146,31.296184043425168
149,denger,1.0,5.991464547107982,5.991464547107982
150,adek,1.0,5.991464547107982,5.991464547107982
151,nyuruh,1.0,5.991464547107982,5.991464547107982
152,kuliah,2.0,5.298317366548036,10.596634733096073
153,profesi,1.0,5.991464547107982,5.991464547107982
154,cerita,2.0,5.298317366548036,10.596634733096073
155,sejahtera,6.0,4.199705077879927,25.198230467279565
156,kerja,49.0,1.5606477482646683,76.47173966496875
157,bayang,4.0,4.382026634673881,17.528106538695525
158,temen,2.0,5.298317366548036,10.596634733096073
159,kalau,1.0,5.991464547107982,5.991464547107982
160,pph,27.0,2.695627681103653,72.78194738979863
161,pbb,2.0,5.298317366548036,10.596634733096073
162,balik,3.0,4.892852258439873,14.678556775319617
163,lstrik,1.0,5.991464547107982,5.991464547107982
164,lelah,2.0,5.298317366548036,10.596634733096073
165,gimana,10.0,3.7942399697717626,37.942399697717626
166,ppn,3.0,4.892852258439873,14.678556775319617
167,mahal,8.0,4.045554398052669,32.36443518442135
168,kelas,12.0,3.912023005428146,46.94427606513775
169,ujung,6.0,4.892852258439873,29.357113550639234
170,rs,8.0,2.277892480403674,18.223139843229394
171,alas,5.0,4.199705077879927,20.998525389399635
172,lapang,9.0,3.7942399697717626,34.14815972794587
173,ngasih,3.0,5.298317366548036,15.894952099644108
174,titid,1.0,5.991464547107982,5.991464547107982
175,taik,1.0,5.991464547107982,5.991464547107982
176,masuk,6.0,4.199705077879927,25.198230467279565
177,bahas,4.0,4.892852258439873,19.57140903375949
178,pln,3.0,4.892852258439873,14.678556775319617
179,gausa,1.0,5.991464547107982,5.991464547107982
180,lu,12.0,1.984131361875511,23.809576342506134
181,ngaco,1.0,5.991464547107982,5.991464547107982
182,tinggi,2.0,4.892852258439873,9.785704516879745
183,harga,13.0,3.5935692743096115,46.71640056602495
184,pajak,30.0,2.900422093749666,87.01266281248998
185,darimana,1.0,5.991464547107982,5.991464547107982
186,jiwasraya,2.0,5.298317366548036,10.596634733096073
187,pertamina,2.0,5.298317366548036,10.596634733096073
188,asabri,1.0,5.991464547107982,5.991464547107982
189,ngutang,2.0,5.298317366548036,10.596634733096073
190,naikin,7.0,3.7942399697717626,26.559679788402338
191,wapres,1.0,5.991464547107982,5.991464547107982
192,mending,6.0,4.199705077879927,25.198230467279565
193,presiden,9.0,3.7942399697717626,34.14815972794587
194,bubarin,2.0,5.298317366548036,10.596634733096073
195,ksp,1.0,5.991464547107982,5.991464547107982
196,guna,2.0,5.298317366548036,10.596634733096073
197,bpip,1.0,5.991464547107982,5.991464547107982
198,stafsus,1.0,5.991464547107982,5.991464547107982
199,amp,2.0,2.995732273553991,5.991464547107982
200,hemat,1.0,5.991464547107982,5.991464547107982
201,perintah,53.0,2.059638914383656,109.16086246233377
202,nyari,3.0,4.892852258439873,14.678556775319617
203,boro,4.0,5.298317366548036,21.193269466192145
204,cuman,7.0,4.199705077879927,29.39793554515949
205,ngemis,1.0,5.991464547107982,5.991464547107982
206,psbb,2.0,5.298317366548036,10.596634733096073
207,m,1.0,0.26461679952078476,0.26461679952078476
208,melangar,1.0,5.991464547107982,5.991464547107982
209,kasi,2.0,3.4265151896464454,6.853030379292891
210,dapetnya,1.0,5.991464547107982,5.991464547107982
211,dinaikin,2.0,5.298317366548036,10.596634733096073
212,dunia,2.0,5.298317366548036,10.596634733096073
213,wifi,1.0,5.991464547107982,5.991464547107982
214,pangan,2.0,5.298317366548036,10.596634733096073
215,duit,15.0,3.283414346005772,49.25121519008658
216,nih,10.0,3.6888794541139363,36.88879454113936
217,properti,2.0,5.298317366548036,10.596634733096073
218,waras,2.0,5.298317366548036,10.596634733096073
219,alih,4.0,4.892852258439873,19.57140903375949
220,rasa,3.0,4.892852258439873,14.678556775319617
221,limpah,1.0,5.991464547107982,5.991464547107982
222,selenggara,1.0,5.991464547107982,5.991464547107982
223,sda,1.0,5.991464547107982,5.991464547107982
224,lantas,1.0,5.991464547107982,5.991464547107982
225,menomorsatukan,1.0,5.991464547107982,5.991464547107982
226,kena,6.0,4.199705077879927,25.198230467279565
227,bijak,15.0,3.283414346005772,49.25121519008658
228,potong,118.0,1.647659125254298,194.42377678000716
229,manfaat,12.0,3.7942399697717626,45.53087963726115
230,pilih,4.0,4.605170185988092,18.420680743952367
231,gaji,58.0,2.02117263355586,117.2280127462399
232,beli,8.0,3.7942399697717626,30.3539197581741
233,utama,5.0,4.382026634673881,21.910133173369406
234,ngomong,5.0,4.199705077879927,20.998525389399635
235,ngapain,2.0,5.298317366548036,10.596634733096073
236,ps,1.0,4.045554398052669,4.045554398052669
237,muncul,10.0,3.6888794541139363,36.88879454113936
238,carut,3.0,4.892852258439873,14.678556775319617
239,juntrung,1.0,5.991464547107982,5.991464547107982
240,jalan,8.0,4.045554398052669,32.36443518442135
241,marut,3.0,4.892852258439873,14.678556775319617
242,nomor,2.0,4.892852258439873,9.785704516879745
243,nuntut,1.0,5.991464547107982,5.991464547107982
244,kaga,2.0,4.605170185988092,9.210340371976184
245,dua,2.0,5.298317366548036,10.596634733096073
246,sadar,4.0,4.892852258439873,19.57140903375949
247,biar,12.0,3.506557897319982,42.07869476783978
248,tabung,7.0,4.045554398052669,28.318880786368684
249,kantor,4.0,4.892852258439873,19.57140903375949
250,motong,2.0,5.298317366548036,10.596634733096073
251,pakai,12.0,3.5935692743096115,43.122831291715336
252,maksud,5.0,4.382026634673881,21.910133173369406
253,tega,2.0,5.298317366548036,10.596634733096073
254,bikin,12.0,3.506557897319982,42.07869476783978
255,sih,20.0,2.557477342622836,51.149546852456716
256,tk,26.0,2.557477342622836,66.49441090819373
257,pensiun,27.0,2.772588722239781,74.8598955004741
258,dah,5.0,3.506557897319982,17.53278948659991
259,baik,5.0,4.382026634673881,21.910133173369406
260,legislatif,2.0,5.298317366548036,10.596634733096073
261,calo,2.0,5.298317366548036,10.596634733096073
262,manajemen,2.0,5.298317366548036,10.596634733096073
263,butuh,7.0,4.045554398052669,28.318880786368684
264,terus,3.0,4.892852258439873,14.678556775319617
265,manusia,3.0,4.892852258439873,14.678556775319617
266,sense,1.0,5.991464547107982,5.991464547107982
267,make,1.0,5.991464547107982,5.991464547107982
268,morat,1.0,5.991464547107982,5.991464547107982
269,marit,1.0,5.991464547107982,5.991464547107982
270,kasih,4.0,3.7942399697717626,15.17695987908705
271,rada,1.0,5.991464547107982,5.991464547107982
272,opini,1.0,5.991464547107982,5.991464547107982
273,tau,8.0,3.5935692743096115,28.748554194476892
274,bangkrut,2.0,5.298317366548036,10.596634733096073
275,detail,3.0,4.892852258439873,14.678556775319617
276,fungsi,3.0,4.892852258439873,14.678556775319617
277,kayak,11.0,3.5935692743096115,39.52926201740573
278,pns,4.0,4.892852258439873,19.57140903375949
279,asal,2.0,4.382026634673881,8.764053269347762
280,askesnya,2.0,5.298317366548036,10.596634733096073
281,persis,3.0,4.892852258439873,14.678556775319617
282,inti,2.0,5.298317366548036,10.596634733096073
283,oke,4.0,4.892852258439873,19.57140903375949
284,cover,4.0,4.605170185988092,18.420680743952367
285,peras,7.0,3.506557897319982,24.54590528123987
286,rezim,4.0,4.605170185988092,18.420680743952367
287,nurani,1.0,5.991464547107982,5.991464547107982
288,keppres,1.0,5.991464547107982,5.991464547107982
289,gede,3.0,4.892852258439873,14.678556775319617
290,naker,3.0,4.892852258439873,14.678556775319617
291,abis,9.0,2.995732273553991,26.961590461985917
292,habis,11.0,3.5935692743096115,39.52926201740573
293,ditambahin,2.0,5.298317366548036,10.596634733096073
294,coba,3.0,5.298317366548036,15.894952099644108
295,bonus,1.0,5.991464547107982,5.991464547107982
296,mayan,1.0,5.991464547107982,5.991464547107982
297,tarif,12.0,3.6888794541139363,44.26655344936724
298,phk,4.0,4.605170185988092,18.420680743952367
299,swasta,14.0,3.4265151896464454,47.97121265505024
300,blt,5.0,4.382026634673881,21.910133173369406
301,sasar,2.0,5.298317366548036,10.596634733096073
302,slip,3.0,4.892852258439873,14.678556775319617
303,diskon,2.0,5.298317366548036,10.596634733096073
304,prakerja,3.0,4.892852258439873,14.678556775319617
305,pikul,2.0,5.298317366548036,10.596634733096073
306,latar,1.0,5.991464547107982,5.991464547107982
307,belakang,1.0,5.991464547107982,5.991464547107982
308,terap,4.0,4.605170185988092,18.420680743952367
309,kita,1.0,5.991464547107982,5.991464547107982
310,hakiki,2.0,5.298317366548036,10.596634733096073
311,kadang,2.0,5.298317366548036,10.596634733096073
312,umr,4.0,4.605170185988092,18.420680743952367
313,ancur,2.0,4.892852258439873,9.785704516879745
314,pas,4.0,3.101092789211817,12.404371156847269
315,pp,7.0,2.4651040224918206,17.255728157442743
316,utang,8.0,3.4265151896464454,27.412121517171563
317,laksana,2.0,5.298317366548036,10.596634733096073
318,tetep,5.0,4.382026634673881,21.910133173369406
319,hukum,10.0,3.912023005428146,39.12023005428146
320,pakde,2.0,5.298317366548036,10.596634733096073
321,ptun,2.0,5.298317366548036,10.596634733096073
322,tuk,2.0,4.199705077879927,8.399410155759854
323,peduli,4.0,4.605170185988092,18.420680743952367
324,putus,9.0,3.7942399697717626,34.14815972794587
325,hak,12.0,3.158251203051766,37.899014436621194
326,perah,4.0,4.605170185988092,18.420680743952367
327,sapi,4.0,4.605170185988092,18.420680743952367
328,kaya,10.0,2.946942109384559,29.46942109384559
329,bang,2.0,2.900422093749666,5.800844187499332
330,pungut,3.0,4.892852258439873,14.678556775319617
331,indonesia,13.0,3.5935692743096115,46.71640056602495
332,konsep,2.0,5.298317366548036,10.596634733096073
333,suruh,4.0,4.605170185988092,18.420680743952367
334,siang,2.0,5.298317366548036,10.596634733096073
335,kembang,1.0,5.991464547107982,5.991464547107982
336,jam,3.0,2.436116485618568,7.308349456855705
337,kandung,1.0,5.991464547107982,5.991464547107982
338,hamil,2.0,5.298317366548036,10.596634733096073
339,periksa,3.0,4.892852258439873,14.678556775319617
340,jakarta,2.0,5.298317366548036,10.596634733096073
341,barat,2.0,5.298317366548036,10.596634733096073
342,dasar,6.0,4.199705077879927,25.198230467279565
343,vonis,3.0,5.298317366548036,15.894952099644108
344,karhutla,3.0,4.892852258439873,14.678556775319617
345,lawan,6.0,4.382026634673881,26.292159808043287
346,gantung,3.0,4.892852258439873,14.678556775319617
347,pahit,1.0,5.991464547107982,5.991464547107982
348,pres,1.0,3.506557897319982,3.506557897319982
349,harap,6.0,4.199705077879927,25.198230467279565
350,cabut,5.0,4.382026634673881,21.910133173369406
351,thr,1.0,5.991464547107982,5.991464547107982
352,saat,1.0,5.991464547107982,5.991464547107982
353,gin,10.0,3.283414346005772,32.83414346005772
354,cari,7.0,4.199705077879927,29.39793554515949
355,hilang,2.0,5.298317366548036,10.596634733096073
356,orang,19.0,3.2188758248682006,61.158640672495814
357,nutupin,1.0,5.991464547107982,5.991464547107982
358,defisit,10.0,3.6888794541139363,36.88879454113936
359,ama,4.0,2.5902671654458267,10.361068661783307
360,goblok,6.0,4.605170185988092,27.63102111592855
361,enak,2.0,5.298317366548036,10.596634733096073
362,persen,33.0,2.855970331178832,94.24702092890146
363,mandiri,10.0,3.6888794541139363,36.88879454113936
364,puluh,12.0,3.506557897319982,42.07869476783978
365,nyungsep,1.0,5.991464547107982,5.991464547107982
366,enam,6.0,4.199705077879927,25.198230467279565
367,ancam,2.0,5.298317366548036,10.596634733096073
368,pasti,1.0,5.991464547107982,5.991464547107982
369,sungguh,1.0,5.991464547107982,5.991464547107982
370,dana,11.0,3.6888794541139363,40.5776739952533
371,alami,2.0,5.298317366548036,10.596634733096073
372,buruh,4.0,4.605170185988092,18.420680743952367
373,rampok,1.0,5.991464547107982,5.991464547107982
374,boneka,1.0,5.991464547107982,5.991464547107982
375,sanksi,2.0,5.991464547107982,11.982929094215963
376,nyata,1.0,5.991464547107982,5.991464547107982
377,hakim,1.0,5.991464547107982,5.991464547107982
378,nyengir,1.0,5.991464547107982,5.991464547107982
379,adil,4.0,4.199705077879927,16.79882031151971
380,punten,2.0,5.298317366548036,10.596634733096073
381,koma,10.0,3.7942399697717626,37.942399697717626
382,nambah,8.0,3.7942399697717626,30.3539197581741
383,tua,3.0,3.912023005428146,11.736069016284437
384,tunjang,4.0,4.605170185988092,18.420680743952367
